,dispatching_base_number,date,active_vehicles,trips
0,B02512,1/1/2015,190,1132
1,B02765,1/1/2015,225,1765
2,B02764,1/1/2015,3427,29421
3,B02682,1/1/2015,945,7679
4,B02617,1/1/2015,1228,9537
5,B02598,1/1/2015,870,6903
6,B02598,1/2/2015,785,4768
7,B02617,1/2/2015,1137,7065
8,B02512,1/2/2015,175,875
9,B02682,1/2/2015,890,5506
10,B02765,1/2/2015,196,1001
11,B02764,1/2/2015,3147,19974
12,B02765,1/3/2015,201,1526
13,B02617,1/3/2015,1188,10664
14,B02598,1/3/2015,818,7432
15,B02682,1/3/2015,915,8010
16,B02512,1/3/2015,173,1088
17,B02764,1/3/2015,3215,29729
18,B02512,1/4/2015,147,791
19,B02682,1/4/2015,812,5621
20,B02598,1/4/2015,746,5223
21,B02765,1/4/2015,183,993
22,B02617,1/4/2015,1088,7729
23,B02764,1/4/2015,2862,20441
24,B02512,1/5/2015,194,984
25,B02682,1/5/2015,951,6012
26,B02617,1/5/2015,1218,7899
27,B02764,1/5/2015,3387,20926
28,B02598,1/5/2015,907,5798
29,B02765,1/5/2015,227,1133
30,B02764,1/6/2015,3473,25301
31,B02682,1/6/2015,1022,7491
32,B02617,1/6/2015,1336,10128
33,B02765,1/6/2015,234,1376
34,B02512,1/6/2015,218,1314
35,B02598,1/6/2015,933,6816
36,B02617,1/7/2015,1363,11528
37,B02682,1/7/2015,1039,9078
38,B02764,1/7/2015,3603,29949
39,B02765,1/7/2015,248,1704
40,B02512,1/7/2015,217,1446
41,B02598,1/7/2015,974,8397
42,B02765,1/8/2015,262,1911
43,B02598,1/8/2015,1070,10050
44,B02512,1/8/2015,238,1772
45,B02682,1/8/2015,1135,10416
46,B02764,1/8/2015,3831,33802
47,B02617,1/8/2015,1463,13462
48,B02617,1/9/2015,1455,13165
49,B02512,1/9/2015,224,1560
50,B02764,1/9/2015,3820,33517
51,B02682,1/9/2015,1140,10477
52,B02598,1/9/2015,1070,9538
53,B02765,1/9/2015,280,2039
54,B02682,1/10/2015,1057,11629
55,B02617,1/10/2015,1331,13856
56,B02598,1/10/2015,949,10287
57,B02512,1/10/2015,206,1646
58,B02764,1/10/2015,3558,38864
59,B02765,1/10/2015,245,2202
60,B02765,1/11/2015,220,1672
61,B02598,1/11/2015,832,7176
62,B02682,1/11/2015,943,8461
63,B02764,1/11/2015,3186,27681
64,B02617,1/11/2015,1228,10932
65,B02512,1/11/2015,162,1104
66,B02764,1/12/2015,3499,26852
67,B02765,1/12/2015,279,1711
68,B02512,1/12/2015,217,1399
69,B02598,1/12/2015,964,7915
70,B02682,1/12/2015,1082,9107
71,B02617,1/12/2015,1323,10662
72,B02765,1/13/2015,258,1697
73,B02598,1/13/2015,975,8713
74,B02617,1/13/2015,1342,11825
75,B02512,1/13/2015,234,1652
76,B02764,1/13/2015,3658,29983
77,B02682,1/13/2015,1092,9629
78,B02764,1/14/2015,3736,29550
79,B02765,1/14/2015,271,1600
80,B02598,1/14/2015,1030,8870
81,B02512,1/14/2015,233,1582
82,B02617,1/14/2015,1405,11965
83,B02682,1/14/2015,1174,9762
84,B02512,1/15/2015,237,1636
85,B02682,1/15/2015,1208,10391
86,B02617,1/15/2015,1457,12539
87,B02765,1/15/2015,270,1797
88,B02764,1/15/2015,3840,31214
89,B02598,1/15/2015,1068,9152
90,B02617,1/16/2015,1445,12977
91,B02765,1/16/2015,290,2082
92,B02764,1/16/2015,3975,34822
93,B02682,1/16/2015,1250,11280
94,B02512,1/16/2015,234,1481
95,B02598,1/16/2015,1079,9838
96,B02598,1/17/2015,974,9546
97,B02512,1/17/2015,201,1281
98,B02682,1/17/2015,1137,11382
99,B02765,1/17/2015,252,2160
100,B02617,1/17/2015,1306,12676
101,B02764,1/17/2015,3657,36318
102,B02512,1/18/2015,177,1521
103,B02598,1/18/2015,869,9443
104,B02765,1/18/2015,248,2287
105,B02764,1/18/2015,3290,35182
106,B02682,1/18/2015,1056,11161
107,B02617,1/18/2015,1223,12879
108,B02682,1/19/2015,883,7028
109,B02617,1/19/2015,992,7775
110,B02765,1/19/2015,238,1568
111,B02764,1/19/2015,2958,22750
112,B02512,1/19/2015,168,1025
113,B02598,1/19/2015,706,5609
114,B02598,1/20/2015,944,7206
115,B02682,1/20/2015,1151,8496
116,B02512,1/20/2015,221,1310
117,B02764,1/20/2015,3654,26137
118,B02765,1/20/2015,272,1608
119,B02617,1/20/2015,1350,10015
120,B02764,1/21/2015,3718,27344
121,B02512,1/21/2015,242,1519
122,B02682,1/21/2015,1228,9472
123,B02598,1/21/2015,1035,8041
124,B02765,1/21/2015,296,1774
125,B02617,1/21/2015,1429,10997
126,B02617,1/22/2015,1471,12143
127,B02764,1/22/2015,3889,30091
128,B02512,1/22/2015,246,1551
129,B02598,1/22/2015,1071,9080
130,B02682,1/22/2015,1295,10699
131,B02765,1/22/2015,295,2038
132,B02598,1/23/2015,1093,9343
133,B02512,1/23/2015,246,1670
134,B02765,1/23/2015,299,2162
135,B02764,1/23/2015,4040,33756
136,B02617,1/23/2015,1482,13121
137,B02682,1/23/2015,1330,11767
138,B02598,1/24/2015,945,10040
139,B02764,1/24/2015,3652,39187
140,B02512,1/24/2015,211,1608
141,B02617,1/24/2015,1367,14143
142,B02682,1/24/2015,1223,13355
143,B02765,1/24/2015,245,2376
144,B02512,1/25/2015,183,1190
145,B02764,1/25/2015,3300,28066
146,B02765,1/25/2015,226,1755
147,B02598,1/25/2015,829,7219
148,B02682,1/25/2015,1046,9303
149,B02617,1/25/2015,1203,10362
150,B02617,1/26/2015,1150,7608
151,B02598,1/26/2015,860,5919
152,B02765,1/26/2015,230,1363
153,B02764,1/26/2015,3012,19940
154,B02682,1/26/2015,1084,7565
155,B02512,1/26/2015,197,1000
156,B02682,1/27/2015,600,4414
157,B02765,1/27/2015,135,921
158,B02617,1/27/2015,596,4325
159,B02598,1/27/2015,434,2957
160,B02512,1/27/2015,112,629
161,B02764,1/27/2015,1619,11998
162,B02764,1/28/2015,3692,28137
163,B02682,1/28/2015,1235,10025
164,B02765,1/28/2015,286,1913
165,B02617,1/28/2015,1356,10862
166,B02598,1/28/2015,1011,8071
167,B02512,1/28/2015,235,1438
168,B02617,1/29/2015,1474,12600
169,B02764,1/29/2015,3959,31637
170,B02682,1/29/2015,1316,11485
171,B02765,1/29/2015,295,2086
172,B02512,1/29/2015,250,1687
173,B02598,1/29/2015,1082,9499
